Date,Window,BoxHigh,BoxLow,BoxSize,BreakDir,BreakTime,BreakDist,LateBreakTime,RetestWithin60,FillTime,MFE_Boxes,MAE_Boxes,EOD_Boxes,DayNet_R,DayNet_R_Potential,DayNet_R_MarketEntry,Rev_Triggered,Rev_MFE,Rev_ExitR,Rev_Outcome,Bias_Daily,EMA_Slope,NewsDay,BoxStart_Server,BoxEnd_Server
2025-03-25,0830-0930,3025.36,3016.68,8.68,Buy,2025-03-25 16:35,2.51,,0,,1.22,0.85,-0.55,,,-1.000,0,,,Cancelled,Buy,Buy,,2025-03-25 15:30:00,2025-03-25 16:30:00
2025-03-26,0830-0930,3030.00,3021.56,8.44,Sell,2025-03-26 16:35,0.66,,1,2025-03-26 16:40,1.09,0.21,0.16,0.216,1.450,0.216,0,,,Cancelled,Buy,Buy,,2025-03-26 15:30:00,2025-03-26 16:30:00
2025-03-27,0830-0930,3052.10,3038.22,13.88,Sell,2025-03-27 16:45,3.26,,1,2025-03-27 16:50,0.30,0.84,-1.32,-1.000,-1.000,-1.000,1,0.54,0.428,EOD,Buy,Buy,,2025-03-27 15:30:00,2025-03-27 16:30:00
2025-03-28,0830-0930,3081.94,3070.78,11.16,Buy,2025-03-28 16:50,0.66,,1,2025-03-28 16:55,0.43,1.04,0.31,-1.000,-1.000,-1.000,1,-0.86,-1.000,Stop,Buy,Buy,,2025-03-28 15:30:00,2025-03-28 16:30:00
2025-03-31,0830-0930,3126.70,3110.21,16.49,Sell,2025-03-31 16:35,1.64,,1,2025-03-31 16:50,0.62,0.80,-0.83,-1.000,-1.000,-1.000,1,-0.75,-1.000,Stop,Buy,Buy,,2025-03-31 15:30:00,2025-03-31 16:30:00
2025-04-01,0830-0930,3137.09,3128.18,8.91,Sell,2025-04-01 17:10,2.69,,1,2025-04-01 17:15,3.07,0.59,1.19,2.667,2.667,2.667,0,,,Cancelled,Buy,Buy,,2025-04-01 15:30:00,2025-04-01 16:30:00
2025-04-02,0830-0930,3131.31,3120.67,10.64,Sell,2025-04-02 16:45,1.07,,1,2025-04-02 16:55,0.38,0.82,-1.00,-1.000,-1.000,-1.000,1,-0.75,-1.000,Stop,Sell,Sell,,2025-04-02 15:30:00,2025-04-02 16:30:00
2025-04-03,0830-0930,3080.24,3054.27,25.97,Buy,2025-04-03 16:35,4.98,,0,,2.13,0.40,1.40,,,2.667,0,,,Cancelled,Sell,Sell,,2025-04-03 15:30:00,2025-04-03 16:30:00
2025-04-04,0830-0930,3101.67,3069.90,31.77,Sell,2025-04-04 16:50,5.60,,0,,1.70,0.07,1.01,,,1.343,0,,,Cancelled,Buy,Sell,,2025-04-04 15:30:00,2025-04-04 16:30:00
2025-04-07,0830-0930,3033.96,3014.47,19.49,Sell,2025-04-07 17:25,5.41,,0,,2.97,0.21,1.58,,,2.667,0,,,Cancelled,Sell,Sell,,2025-04-07 15:30:00,2025-04-07 16:30:00
2025-04-08,0830-0930,3022.69,3002.43,20.26,Sell,2025-04-08 18:55,1.00,,0,,1.36,0.16,1.00,,,1.327,0,,,Cancelled,Buy,Buy,,2025-04-08 15:30:00,2025-04-08 16:30:00
2025-04-09,0830-0930,3072.48,3042.67,29.81,Buy,2025-04-09 16:35,3.28,,1,2025-04-09 16:40,0.89,0.80,0.24,-1.000,-1.000,-1.000,0,,,NeverTriggered,Buy,Buy,,2025-04-09 15:30:00,2025-04-09 16:30:00
2025-04-10,0830-0930,3136.68,3116.30,20.38,Buy,2025-04-10 17:05,5.50,,0,,1.95,0.09,1.77,,,2.356,0,,,Cancelled,Buy,Buy,,2025-04-10 15:30:00,2025-04-10 16:30:00
2025-04-11,0830-0930,3244.18,3223.14,21.04,Sell,2025-04-11 19:50,0.45,,1,2025-04-11 19:55,0.16,0.72,-0.55,-0.735,0.215,-0.735,0,,,NeverTriggered,Buy,Buy,,2025-04-11 15:30:00,2025-04-11 16:30:00
2025-04-14,0830-0930,3214.11,3193.69,20.42,Buy,2025-04-14 17:45,0.39,,1,2025-04-14 17:50,0.07,0.82,-0.13,-1.000,-1.000,-1.000,0,,,NeverTriggered,Sell,Sell,,2025-04-14 15:30:00,2025-04-14 16:30:00
2025-04-15,0830-0930,3226.32,3215.41,10.91,Sell,2025-04-15 16:50,3.47,,1,2025-04-15 17:00,0.35,0.91,-1.22,-1.000,-1.000,-1.000,1,-0.77,-1.000,Stop,Sell,Sell,,2025-04-15 15:30:00,2025-04-15 16:30:00
2025-04-16,0830-0930,3313.47,3299.02,14.45,Sell,2025-04-16 16:35,1.20,,1,2025-04-16 16:40,0.16,0.79,-2.90,-1.000,-1.000,-1.000,1,2.00,2.667,TP,Buy,Buy,,2025-04-16 15:30:00,2025-04-16 16:30:00
2025-04-17,0830-0930,3331.50,3320.09,11.41,Sell,2025-04-17 16:50,2.27,,0,,3.16,0.72,-0.72,,,2.667,0,,,Cancelled,Buy,Buy,,2025-04-17 15:30:00,2025-04-17 16:30:00
2025-04-21,0830-0930,3424.42,3398.08,26.34,Buy,2025-04-21 17:00,0.21,,1,2025-04-21 17:05,0.23,0.70,0.02,0.025,0.306,0.025,0,,,NeverTriggered,Buy,Buy,,2025-04-21 15:30:00,2025-04-21 16:30:00
